navigationalstatus,sog,cog,heading,shiptype,width,length,draught
Under way using engine,11.3,327.7,326.0,Cargo,28.0,179.0,9.6
Under way using engine,7.0,234.1,228.0,Cargo,13.0,85.0,4.5
Under way using engine,14.4,137.2,134.0,Cargo,26.0,187.0,6.5
Under way using engine,16.4,208.8,212.0,Cargo,25.0,193.0,5.6
Under way using engine,11.4,159.3,157.0,Cargo,13.0,89.0,3.8
Under way using engine,12.1,340.0,337.0,Cargo,36.0,200.0,11.4
Under way using engine,13.8,40.0,38.0,Tanker,28.0,185.0,10.5
Under way using engine,9.2,318.0,317.0,Cargo,13.0,88.0,5.6
Under way using engine,9.0,262.0,264.0,Passenger,28.0,111.0,5.0
Under way using engine,9.4,317.0,316.0,Tanker,14.0,93.0,5.8
Under way using engine,12.7,135.3,137.0,Tanker,28.0,184.0,7.6
Under way using engine,9.3,316.9,314.0,Cargo,14.0,112.0,6.1
Under way using engine,9.1,180.0,180.0,Tanker,24.0,156.0,9.0
Under way using engine,8.6,344.9,345.0,Cargo,14.0,90.0,6.1
Under way using engine,14.4,37.0,38.0,Tanker,28.0,185.0,10.5
Moored,0.0,0.0,0.0,Fishing,6.0,15.0,7.8
Under way using engine,12.1,339.7,337.0,Cargo,36.0,200.0,11.4
Under way using engine,17.1,141.0,141.0,Passenger,24.0,130.0,4.9
Under way using engine,12.6,338.6,333.0,Tanker,27.0,184.0,10.7
Constrained by her draught,12.8,340.2,336.0,Cargo,43.0,333.0,13.3
Under way using engine,10.9,194.3,192.0,Cargo,12.0,82.0,4.7
Moored,0.1,183.5,105.0,Pleasure,4.0,14.0,1.3
Under way using engine,12.4,169.3,172.0,Cargo,32.0,197.0,6.8
Under way using engine,16.2,134.0,137.0,Cargo,22.0,154.0,6.1
Under way using engine,12.7,135.3,137.0,Tanker,28.0,184.0,7.6
Under way using engine,15.7,345.7,347.0,Cargo,23.0,139.0,5.7
Moored,0.0,294.0,294.0,Dredging,32.0,155.0,6.1
Under way using engine,11.8,157.1,158.0,Cargo,13.0,89.0,3.8
Under way using engine,15.5,158.0,160.0,Cargo,36.0,200.0,9.7
Under way using engine,16.5,33.0,34.0,Cargo,22.0,155.0,8.6
Under way using engine,9.5,318.0,316.0,Tanker,14.0,93.0,5.8
Under way using engine,4.2,0.8,173.0,Tug,7.0,20.0,2.6
Under way using engine,13.6,340.5,339.0,Cargo,21.0,100.0,4.7
Under way using engine,13.1,135.8,135.0,Cargo,14.0,112.0,4.1
Under way using engine,12.6,141.6,143.0,Cargo,14.0,89.0,3.7
Under way using engine,14.6,138.1,137.0,Cargo,26.0,187.0,6.5
Under way using engine,9.4,213.3,217.0,Tanker,14.0,90.0,5.2
Under way using engine,13.4,173.0,176.0,Tanker,32.0,228.0,7.2
Under way using engine,14.5,94.3,92.0,Tanker,42.0,246.0,8.0
Under way using engine,9.5,160.7,163.0,Cargo,12.0,60.0,3.8
Under way using engine,16.0,210.1,213.0,Cargo,25.0,193.0,5.6
Under way using engine,12.8,180.2,179.0,Tanker,32.0,183.0,8.8
Constrained by her draught,11.9,345.9,344.0,Tanker,44.0,250.0,14.5
Under way using engine,12.2,342.8,341.0,Tanker,30.0,184.0,9.6
Under way using engine,14.7,162.0,161.0,Cargo,17.0,119.0,7.7
Under way using engine,6.9,164.4,167.0,Tug,8.0,26.0,4.2
Under way using engine,12.9,137.4,137.0,Cargo,14.0,112.0,4.1
Under way using engine,9.9,333.5,336.0,Cargo,14.0,98.0,3.9
Under way using engine,16.4,158.2,159.0,Passenger,26.0,222.0,5.7
Under way using engine,10.6,341.0,340.0,Cargo,14.0,90.0,5.7
Under way using engine,12.7,338.8,334.0,Tanker,27.0,184.0,10.7
Under way using engine,16.2,134.4,136.0,Cargo,22.0,154.0,6.1
Under way using engine,8.4,316.7,314.0,Cargo,16.0,140.0,4.7
Under way using engine,15.4,163.7,165.0,Cargo,36.0,200.0,9.7
Under way using engine,0.0,335.3,79.0,Dredging,8.0,27.0,3.0
Under way using engine,12.6,146.0,147.0,Cargo,14.0,89.0,3.7
Under way using engine,12.2,172.5,172.0,Cargo,13.0,111.0,3.9
Moored,0.0,179.3,77.0,SAR,6.0,35.0,3.6
Under way using engine,16.3,33.0,33.0,Cargo,22.0,155.0,8.6
Under way using engine,13.4,291.7,292.0,Pilot,4.0,15.0,1.5
Under way using engine,12.2,160.0,163.0,Tanker,21.0,129.0,7.9
Under way using engine,10.8,339.0,339.0,Cargo,32.0,180.0,10.5
Moored,12.0,68.0,59.0,Tanker,17.0,119.0,6.7
Under way using engine,10.6,324.1,324.0,Cargo,15.0,100.0,6.9
Constrained by her draught,11.1,30.2,29.0,Cargo,32.0,225.0,13.7
Under way using engine,9.7,135.4,137.0,Cargo,16.0,100.0,4.8
Under way using engine,12.8,134.7,137.0,Tanker,28.0,184.0,7.6
Under way using engine,9.6,158.5,162.0,Cargo,12.0,60.0,3.8
Under way using engine,13.1,35.7,35.0,Cargo,29.0,190.0,9.9
Under way using engine,16.3,134.5,137.0,Cargo,22.0,154.0,6.1
Under way using engine,8.7,288.7,283.0,Cargo,12.0,90.0,5.0
Under way using engine,8.5,270.0,269.0,Cargo,12.0,74.0,3.8
Under way using engine,10.7,184.9,185.0,Cargo,16.0,116.0,6.9
Under way using engine,11.7,341.5,337.0,Tanker,44.0,250.0,12.8
Under way using engine,14.4,146.1,146.0,Cargo,26.0,187.0,6.5
Under way using engine,8.6,317.5,314.0,Cargo,16.0,140.0,4.7
Under way using engine,7.0,210.4,213.0,Cargo,13.0,85.0,4.5
Under way using engine,16.8,147.7,148.0,Passenger,24.0,130.0,4.9
Under way using engine,7.4,270.0,269.0,Tanker,24.0,147.0,6.0
Under way using engine,9.9,167.0,168.0,Tanker,14.0,75.0,5.5
Under way using engine,12.1,162.0,163.0,Tanker,21.0,129.0,7.9
Moored,11.4,328.0,334.0,Tanker,17.0,119.0,6.7
Under way using engine,15.5,40.0,39.0,Tanker,28.0,185.0,10.5
Under way using engine,7.8,183.0,184.0,Cargo,14.0,86.0,7.1
Under way using engine,15.6,214.5,219.0,Cargo,25.0,193.0,5.6
Under way using engine,14.3,94.0,92.0,Tanker,42.0,246.0,8.0
Under way using engine,13.2,209.1,208.0,Tanker,30.0,176.0,9.4
Under way using engine,12.7,353.8,351.0,Cargo,27.0,218.0,7.1
Under way using engine,11.9,337.8,338.0,Cargo,33.0,216.0,10.6
Under way using engine,9.7,346.4,347.0,Cargo,15.0,101.0,6.8
Under way using engine,17.1,146.3,146.0,Passenger,24.0,130.0,4.9
Under way using engine,11.8,338.0,338.0,Cargo,33.0,216.0,10.6
Under way using engine,8.5,349.6,349.0,Cargo,12.0,81.0,5.4
Under way using engine,11.6,343.8,341.0,Tanker,23.0,144.0,7.7
Under way using engine,14.1,162.9,165.0,Passenger,26.0,222.0,5.7
Under way using engine,12.7,157.0,158.0,Tanker,32.0,228.0,7.2
Under way using engine,10.7,185.1,186.0,Cargo,16.0,116.0,6.9
Under way using engine,10.0,344.2,344.0,Cargo,14.0,106.0,4.3
Under way using engine,13.2,208.3,207.0,Tanker,30.0,176.0,9.4
Under way using engine,12.8,35.4,36.0,Cargo,29.0,190.0,9.9
Under way using engine,9.2,269.5,275.0,Cargo,14.0,112.0,6.1
Under way using engine,12.4,342.5,343.0,Tanker,30.0,184.0,9.6
Under way using engine,12.7,133.6,137.0,Tanker,28.0,184.0,7.6
Under way using engine,10.0,314.9,317.0,Cargo,14.0,106.0,4.3
Under way using engine,15.6,347.3,347.0,Cargo,23.0,139.0,5.7
Under way using engine,16.1,134.7,138.0,Cargo,22.0,154.0,6.1
Under way using engine,10.5,339.2,339.0,Cargo,14.0,90.0,5.7
Under way using engine,15.9,34.0,34.0,Cargo,22.0,155.0,8.6
Under way using engine,12.7,135.7,138.0,Cargo,14.0,112.0,4.1
Under way using engine,15.6,346.7,347.0,Cargo,23.0,139.0,5.7
Under way using engine,12.3,337.6,337.0,Cargo,36.0,200.0,11.4
Under way using engine,10.0,345.8,345.0,Tanker,16.0,103.0,7.0
Under way using engine,12.3,152.8,155.0,Cargo,13.0,89.0,3.8
Under way using engine,9.7,346.1,347.0,Cargo,15.0,101.0,6.8
Under way using engine,9.3,179.2,185.0,Cargo,16.0,120.0,7.6
Under way using engine,10.8,166.1,168.0,Tanker,16.0,115.0,6.6
Under way using engine,9.9,166.0,171.0,Tanker,14.0,75.0,5.5
Under way using engine,10.8,185.5,186.0,Cargo,16.0,116.0,6.9
Under way using engine,11.4,162.5,161.0,Cargo,13.0,111.0,3.9
Under way using engine,10.8,292.3,291.0,Pilot,4.0,15.0,1.5
Under way using engine,11.3,342.0,338.0,Cargo,32.0,180.0,10.5
Under way using engine,15.3,36.0,37.0,Tanker,28.0,185.0,10.5
Under way using engine,9.7,359.4,358.0,Cargo,14.0,98.0,3.9
Under way using engine,9.4,317.1,315.0,Cargo,13.0,88.0,5.6
Constrained by her draught,12.9,340.0,337.0,Cargo,43.0,333.0,13.3
Under way using engine,8.4,345.2,345.0,Cargo,14.0,90.0,6.1
Under way using engine,15.0,160.0,161.0,Cargo,17.0,119.0,7.7
Under way using engine,12.8,170.2,172.0,Cargo,32.0,197.0,6.8
Under way using engine,12.8,170.5,172.0,Cargo,32.0,197.0,6.8
Under way using engine,10.8,323.4,322.0,Cargo,15.0,100.0,6.9
Under way using engine,11.5,339.1,338.0,Cargo,28.0,179.0,9.6
Under way using engine,11.2,5.0,7.0,Cargo,12.0,90.0,4.5
Under way using engine,11.5,338.5,337.0,Cargo,28.0,179.0,9.6
Under way using engine,14.6,94.1,91.0,Tanker,42.0,246.0,8.0
Under way using engine,15.0,159.9,161.0,Cargo,17.0,119.0,7.7
Under way using engine,13.1,337.5,335.0,Cargo,21.0,100.0,4.7
Under way using engine,12.3,316.9,315.0,Tanker,27.0,184.0,10.7
Under way using engine,14.5,160.3,163.0,Cargo,26.0,187.0,6.5
Under way using engine,11.1,165.5,169.0,Tanker,16.0,115.0,6.6
Under way using engine,13.2,182.8,183.0,Tanker,32.0,183.0,8.8
Under way using engine,11.6,271.0,271.0,Tanker,24.0,147.0,6.0
Under way using engine,13.2,337.9,336.0,Cargo,21.0,100.0,4.7
Under way using engine,14.1,163.6,164.0,Passenger,26.0,222.0,5.7
Under way using engine,9.4,212.3,214.0,Tanker,14.0,90.0,5.2
Under way using engine,14.9,157.9,160.0,Cargo,36.0,200.0,9.7
Under way using engine,9.5,337.6,342.0,Cargo,14.0,89.0,6.4
Under way using engine,11.5,341.6,340.0,Tanker,44.0,250.0,12.8
Under way using engine,9.7,319.0,316.0,Tanker,14.0,93.0,5.8
Under way using engine,12.9,159.0,158.0,Tanker,32.0,228.0,7.2
Constrained by her draught,12.8,339.7,337.0,Cargo,43.0,333.0,13.3
Under way using engine,8.7,205.9,204.0,Tanker,24.0,156.0,9.0
Under way using engine,12.3,317.2,316.0,Tanker,27.0,184.0,10.7
Under way using engine,15.6,241.7,244.0,Cargo,25.0,193.0,5.6
Under way using engine,7.8,185.5,184.0,Cargo,14.0,86.0,7.1
Under way using engine,15.5,242.7,245.0,Cargo,25.0,193.0,5.6
Under way using engine,12.5,162.3,166.0,Cargo,14.0,89.0,3.7
Under way using engine,11.2,8.0,9.0,Cargo,12.0,90.0,4.5
Under way using engine,8.9,288.1,286.0,Cargo,12.0,90.0,5.0
Under way using engine,15.8,34.0,33.0,Cargo,22.0,155.0,8.6
Under way using engine,8.1,269.0,272.0,Cargo,12.0,74.0,3.8
Constrained by her draught,11.8,341.0,340.0,Tanker,44.0,250.0,14.5
Under way using engine,9.9,132.5,139.0,Cargo,16.0,100.0,4.8
Under way using engine,13.1,36.9,35.0,Cargo,29.0,190.0,9.9
Constrained by her draught,11.9,340.6,340.0,Tanker,44.0,250.0,14.5
Under way using engine,22.9,169.2,171.0,HSC,8.0,27.0,1.7
Under way using engine,15.1,36.0,35.0,Tanker,28.0,185.0,10.5
Under way using engine,16.4,189.8,193.0,Passenger,24.0,130.0,4.9
Under way using engine,11.5,335.7,335.0,Tanker,23.0,144.0,7.7
Under way using engine,8.6,205.3,204.0,Tanker,24.0,156.0,9.0
Under way using engine,16.1,128.4,133.0,Cargo,22.0,154.0,6.1
Under way using engine,12.0,155.0,154.0,Cargo,13.0,89.0,3.8
Under way using engine,16.5,13.5,11.0,Cargo,27.0,218.0,7.1
Under way using engine,8.6,317.2,312.0,Cargo,16.0,140.0,4.7
Under way using engine,9.3,209.2,211.0,Tanker,14.0,90.0,5.2
Under way using engine,10.8,324.6,321.0,Cargo,15.0,100.0,6.9
Under way using engine,12.5,339.4,339.0,Cargo,36.0,200.0,11.4
Under way using engine,12.5,131.9,138.0,Tanker,28.0,184.0,7.6
Under way using engine,9.7,269.8,274.0,Cargo,14.0,112.0,6.1
Under way using engine,14.8,158.1,159.0,Cargo,36.0,200.0,9.7
Under way using engine,12.0,161.0,162.0,Tanker,21.0,129.0,7.9
Under way using engine,11.4,163.1,160.0,Cargo,13.0,111.0,3.9
Under way using engine,9.5,317.4,313.0,Cargo,13.0,88.0,5.6
Under way using engine,10.0,135.8,140.0,Cargo,16.0,100.0,4.8
Under way using engine,14.5,93.4,91.0,Tanker,42.0,246.0,8.0
Under way using engine,10.0,346.1,345.0,Tanker,16.0,103.0,7.0
Under way using engine,9.6,317.0,316.0,Tanker,14.0,93.0,5.8
Under way using engine,12.9,133.8,137.0,Cargo,14.0,112.0,4.1
Under way using engine,16.4,129.1,133.0,Cargo,22.0,154.0,6.1
Under way using engine,11.7,342.0,338.0,Tanker,44.0,250.0,12.8
Under way using engine,9.6,147.8,148.0,Cargo,12.0,60.0,3.8
Under way using engine,12.9,135.7,138.0,Cargo,14.0,112.0,4.1
Under way using engine,16.0,36.0,34.0,Cargo,22.0,155.0,8.6
Constrained by her draught,11.7,355.2,355.0,Cargo,32.0,225.0,13.7
Under way using engine,9.6,289.5,286.0,Pilot,4.0,15.0,1.5
Under way using engine,15.7,345.3,345.0,Cargo,23.0,139.0,5.7
Under way using engine,11.7,282.0,282.0,Tanker,24.0,147.0,6.0
Under way using engine,15.7,243.9,245.0,Cargo,25.0,193.0,5.6
Under way using engine,13.0,205.5,205.0,Tanker,30.0,176.0,9.4
Moored,11.5,327.0,329.0,Tanker,17.0,119.0,6.7
Under way using engine,11.5,353.5,358.0,Cargo,33.0,216.0,10.6
Under way using engine,12.6,206.5,205.0,Tanker,30.0,176.0,9.4
Under way using engine,14.4,160.8,163.0,Cargo,26.0,187.0,6.5
Under way using engine,7.7,184.4,185.0,Cargo,13.0,85.0,4.5
Moored,11.6,327.0,329.0,Tanker,17.0,119.0,6.7
Under way using engine,9.7,170.0,169.0,Tanker,14.0,75.0,5.5
Under way using engine,12.1,338.9,338.0,Tanker,30.0,184.0,9.6
Under way using engine,12.0,338.9,338.0,Tanker,30.0,184.0,9.6
Under way using engine,11.7,336.1,336.0,Tanker,23.0,144.0,7.7
Under way using engine,12.7,137.9,142.0,Tanker,28.0,184.0,7.6
Under way using engine,9.5,148.1,147.0,Cargo,12.0,60.0,3.8
Under way using engine,12.1,56.7,57.0,Tanker,23.0,144.0,6.5
Under way using engine,9.8,316.2,316.0,Cargo,14.0,106.0,4.3
Under way using engine,13.2,34.2,32.0,Cargo,29.0,190.0,9.9
Under way using engine,12.0,160.2,165.0,Cargo,14.0,89.0,3.7
Under way using engine,14.8,21.0,19.0,Tanker,28.0,185.0,10.5
Under way using engine,16.5,137.5,141.0,Cargo,22.0,154.0,6.1
Under way using engine,11.7,325.3,329.0,Tanker,22.0,144.0,6.1
Under way using engine,12.1,341.2,339.0,Cargo,36.0,200.0,11.4
Under way using engine,9.1,331.4,332.0,Cargo,11.0,88.0,4.7
Under way using engine,14.7,162.6,162.0,Cargo,17.0,119.0,7.7
Under way using engine,13.0,141.9,142.0,Cargo,32.0,197.0,6.8
Under way using engine,14.7,110.2,110.0,Tanker,42.0,246.0,8.0
Constrained by her draught,12.8,338.3,337.0,Cargo,43.0,333.0,13.3
Under way using engine,14.4,161.6,163.0,Cargo,26.0,187.0,6.5
Under way using engine,11.7,183.2,183.0,Cargo,16.0,116.0,6.9
Under way using engine,7.2,165.6,166.0,Tug,8.0,26.0,4.2
Under way using engine,12.1,153.2,153.0,Cargo,13.0,89.0,3.8
Under way using engine,14.5,158.9,160.0,Cargo,36.0,200.0,9.7
Under way using engine,8.7,286.5,283.0,Cargo,12.0,90.0,5.0
Under way using engine,13.6,165.8,168.0,Passenger,26.0,222.0,5.7
Under way using engine,11.3,167.8,169.0,Tanker,16.0,115.0,6.6
Under way using engine,13.1,189.1,190.0,Tanker,32.0,183.0,8.8
Under way using engine,10.0,339.9,340.0,Cargo,14.0,90.0,5.7
Under way using engine,11.4,339.0,339.0,Cargo,32.0,180.0,10.5
Under way using engine,13.4,193.0,194.0,Tanker,32.0,228.0,7.2
Under way using engine,9.5,304.0,306.0,Tanker,14.0,93.0,5.8
Under way using engine,13.2,318.6,317.0,Cargo,21.0,100.0,4.7
Under way using engine,16.6,4.7,5.0,Cargo,27.0,218.0,7.1
Under way using engine,12.0,356.7,358.0,Cargo,28.0,179.0,9.6
Under way using engine,11.7,327.0,328.0,Tanker,22.0,144.0,6.1
Under way using engine,8.2,271.0,268.0,Cargo,12.0,74.0,3.8
Under way using engine,9.5,270.0,273.0,Cargo,14.0,112.0,6.1
Under way using engine,9.8,345.4,344.0,Tanker,16.0,103.0,7.0
Under way using engine,10.3,344.2,342.0,Cargo,13.0,88.0,5.6
Under way using engine,11.5,341.0,341.0,Cargo,32.0,180.0,10.5
Under way using engine,15.9,244.6,245.0,Cargo,25.0,193.0,5.6
Under way using engine,12.0,58.2,57.0,Tanker,23.0,144.0,6.5
Under way using engine,11.6,328.6,328.0,Tanker,22.0,144.0,6.1
Under way using engine,10.6,222.0,225.0,Passenger,24.0,130.0,4.9
Under way using engine,8.3,350.7,349.0,Cargo,12.0,81.0,5.4
Under way using engine,9.8,346.2,346.0,Cargo,15.0,101.0,6.8
Under way using engine,12.9,138.8,142.0,Tanker,28.0,184.0,7.6
Under way using engine,10.0,340.8,340.0,Cargo,14.0,90.0,5.7
Under way using engine,16.3,36.0,34.0,Cargo,22.0,155.0,8.6
Under way using engine,10.4,7.4,11.0,Cargo,14.0,98.0,3.9
Under way using engine,13.4,33.3,30.0,Cargo,29.0,190.0,9.9
Under way using engine,12.2,161.0,161.0,Tanker,21.0,129.0,7.9
Under way using engine,13.3,318.5,317.0,Cargo,21.0,100.0,4.7
Under way using engine,10.3,139.0,141.0,Cargo,16.0,100.0,4.8
Under way using engine,8.1,331.8,332.0,Cargo,11.0,88.0,4.7
Under way using engine,16.4,37.0,34.0,Cargo,22.0,155.0,8.6
Under way using engine,12.1,159.7,165.0,Cargo,14.0,89.0,3.7
Under way using engine,13.2,133.1,134.0,Cargo,14.0,112.0,4.1
Under way using engine,8.7,189.5,190.0,Cargo,16.0,120.0,7.6
Constrained by her draught,12.3,341.5,343.0,Tanker,44.0,250.0,14.5
Under way using engine,15.0,161.2,160.0,Cargo,17.0,119.0,7.7
Under way using engine,14.9,44.1,49.0,Tanker,28.0,185.0,10.5
Under way using engine,10.2,345.0,353.0,Cargo,12.0,90.0,4.5
Under way using engine,10.8,323.8,322.0,Cargo,15.0,100.0,6.9
Under way using engine,9.8,312.2,310.0,Cargo,14.0,106.0,4.3
Under way using engine,14.1,165.3,167.0,Passenger,26.0,222.0,5.7
Under way using engine,15.6,347.3,346.0,Cargo,23.0,139.0,5.7
Under way using engine,8.5,349.1,347.0,Cargo,14.0,90.0,6.1
Under way using engine,10.8,322.7,322.0,Cargo,15.0,100.0,6.9
Under way using engine,6.9,295.6,303.0,Cargo,16.0,140.0,4.7
Under way using engine,13.1,139.7,140.0,Cargo,32.0,197.0,6.8
Under way using engine,13.0,208.9,210.0,Tanker,32.0,183.0,8.8
Under way using engine,12.0,199.7,199.0,Cargo,13.0,111.0,3.9
Under way using engine,12.3,161.0,162.0,Tanker,21.0,129.0,7.9
Under way using engine,16.5,137.5,138.0,Cargo,22.0,154.0,6.1
Under way using engine,10.8,133.5,131.0,Cargo,17.0,119.0,5.4
Constrained by her draught,13.0,339.5,339.0,Cargo,43.0,333.0,13.3
Under way using engine,16.5,137.5,138.0,Cargo,22.0,154.0,6.1
Under way using engine,12.3,152.9,154.0,Cargo,13.0,89.0,3.8
Under way using engine,10.8,133.8,131.0,Cargo,17.0,119.0,5.4
Constrained by her draught,12.0,358.8,0.0,Cargo,32.0,225.0,13.7
Under way using engine,16.9,245.0,245.0,Cargo,25.0,193.0,5.6
Under way using engine,8.8,335.9,335.0,Cargo,14.0,89.0,6.4
Under way using engine,13.7,171.4,174.0,Tanker,42.0,246.0,8.0
Under way using engine,8.1,333.0,332.0,Cargo,11.0,88.0,4.7
Under way using engine,8.8,181.5,181.0,Cargo,14.0,86.0,7.1
Under way using engine,12.0,339.6,337.0,Tanker,44.0,250.0,12.8
Under way using engine,8.6,300.5,302.0,Cargo,16.0,140.0,4.7
Under way using engine,9.5,355.3,356.0,Cargo,15.0,127.0,5.2
Under way using engine,9.2,213.2,218.0,Tanker,14.0,90.0,5.2
Under way using engine,14.6,160.0,160.0,Cargo,36.0,200.0,9.7
Under way using engine,6.4,24.7,25.0,Tanker,44.0,250.0,13.7
Under way using engine,9.0,231.2,230.0,Tanker,24.0,156.0,9.0
Under way using engine,13.9,168.2,170.0,Tanker,42.0,246.0,8.0
Under way using engine,15.7,345.5,343.0,Cargo,23.0,139.0,5.7
Under way using engine,8.7,316.6,320.0,Cargo,14.0,89.0,6.4
Under way using engine,9.1,220.2,222.0,Cargo,13.0,111.0,3.9
Under way using engine,10.6,221.1,222.0,Passenger,24.0,130.0,4.9
Under way using engine,12.1,339.7,337.0,Tanker,44.0,250.0,12.8
Under way using engine,12.6,210.1,208.0,Tanker,30.0,176.0,9.4
Under way using engine,15.1,161.8,162.0,Cargo,17.0,119.0,7.7
Under way using engine,10.1,342.5,348.0,Cargo,13.0,88.0,5.6
Under way using engine,9.6,265.9,270.0,Cargo,14.0,112.0,6.1
Under way using engine,17.4,338.4,336.0,Cargo,27.0,218.0,7.1
Under way using engine,11.8,7.6,9.0,Cargo,33.0,216.0,10.6
Under way using engine,12.4,344.7,342.0,Tanker,30.0,184.0,9.6
Under way using engine,11.7,338.5,338.0,Tanker,23.0,144.0,7.7
Under way using engine,7.0,263.5,265.0,Cargo,12.0,90.0,5.0
Under way using engine,10.4,330.7,326.0,Cargo,14.0,106.0,4.3
Under way using engine,9.4,213.4,218.0,Tanker,14.0,90.0,5.2
Under way using engine,12.8,209.1,207.0,Tanker,30.0,176.0,9.4
Under way using engine,14.7,162.6,166.0,Cargo,26.0,187.0,6.5
Constrained by her draught,12.4,341.1,342.0,Tanker,44.0,250.0,14.5
Under way using engine,15.1,165.4,168.0,Cargo,36.0,200.0,9.7
